sampleName,sites_num,sites_covgMean,sites_covgMedian,sites_covgPerc25,sites_covgPerc75,sites_numCovg5,sites_numCovg10,sites_numCovg30,sites_numCovg60
CLP_D1_3.bed,925107,7.0992760837395,6,2,10,514363,250057,6080,175
CLP_D2_3.bed,864722,4.93983152967081,4,2,6,348936,108626,263,63
CLP_D3_3.bed,804442,4.09262569582394,4,2,6,239176,57633,229,50
CMP_D1_3.bed,792008,3.99191422308866,3,2,6,223851,52032,205,56
CMP_D2_3.bed,817105,4.28253039695021,4,2,6,262469,68502,215,57
CMP_D3_3.bed,795240,4.11517277802927,4,2,6,239432,58965,141,36
GMP_D1_3.bed,753492,3.97212445520324,3,2,6,209937,51558,240,47
GMP_D2_3.bed,771415,3.91389848525113,3,2,6,210686,48667,129,50
GMP_D3_3.bed,840369,4.59166865983871,4,2,6,303654,86414,246,51
HSC_D10_3.bed,229504,1.90893404907975,2,1,2,3240,138,20,9
HSC_D7_3.bed,337752,2.10173144792629,2,1,2,11048,558,21,11
HSC_D9_4.bed,373388,2.17802125403066,2,1,2,15183,1570,30,17
MEP_D1_3.bed,785263,3.95763330247318,3,2,6,219481,50781,139,49
MEP_D2_3.bed,818485,4.27546503601166,4,2,6,262901,66997,199,58
MEP_D3_3.bed,812239,4.33172625298711,4,2,6,265997,70644,209,56
MLP_D1_3.bed,775568,3.8483975615291,3,2,5,206830,44638,142,42
MLP_D2_3.bed,835120,4.47890482804866,4,2,6,290217,79148,221,56
MLP_D3_3.bed,798659,4.08589898817894,3,2,6,236024,57511,200,56
MPP_D10_3.bed,767855,3.71592292815701,3,2,4,189832,38406,126,42
MPP_D7_3.bed,549658,2.60953356450738,2,2,4,51215,4834,61,23
MPP_D9_3.bed,520822,2.51858600443146,2,1,3,42225,3293,69,24
